name,Photo,about,degree,phone,email,address,specialization,yearofexperience,language,rating,clinicname,timings,onlinebooking,consultonline,linktoprofile
Rainer Porschen,https://img.bookimed.com/doctor/5acf608180487_b.jpeg,null,MBBS,null,null,null,"Oncologist, Gastroenterologist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/rainer-porschen/
Jens E. Meyer,https://img.bookimed.com/doctor/5acf60582b879_b.jpeg,null,MBBS,null,null,null,"Clinical oncologist, ENT doctor",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/jens-e-meyer/
Martin Claßen,https://img.bookimed.com/doctor/5acf60812a0db_b.jpeg,null,MBBS,null,null,null,Gastroenterologist,null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/martin-classen/
Ralf Hempelmann,https://img.bookimed.com/doctor/5acf60a9178aa_b.jpeg,null,MBBS,null,null,null,Neurosurgeon,null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/ralf-hempelmann/
Michael Friedrich,https://img.bookimed.com/doctor/5acf603ac6c2c_b.jpeg,Member of the American Society of Clinical Oncology and the International Gynecologic Cancer Society.,MBBS,null,null,null,"Obstetrician-gynecologist, Gynecologic oncologist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/michael-friedrich/
Matthias Schlensak,https://img.bookimed.com/doctor/5acf606cbb564_b.jpeg,null,MBBS,null,null,null,"Endocrinologist, Bariatric Specialist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/matthias-schlensak/
Andreas Naumann,https://img.bookimed.com/doctor/5acf608242c10_b.jpeg,null,MBBS,null,null,null,"Otorhinolaryngologist, Oncologist, Ophthalmologist, Surgeon",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/andreas-naumann/
Gerd Friedrich Westphal,https://img.bookimed.com/doctor/5acf60babbf4c_b.jpeg,null,MBBS,null,null,null,"Plastic Surgeon, Aesthetic Specialist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/friedrich-westphal/
Peter Paul Urban,https://img.bookimed.com/doctor/5acf60e06f91c_b.jpeg,null,MBBS,null,null,null,Neurologist,null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/peter-paul-urban/
Jürgen Kiwit,https://img.bookimed.com/doctor/5acf604e21cfc_b.jpeg,null,MBBS,null,null,null,"Neurosurgeon, Oncologist, Pediatric Neurosurgeon",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/jürgen-kiwit/
Axel Hillmann,https://img.bookimed.com/doctor/5acf61053fe9f_b.jpeg,null,MBBS,null,null,null,"Orthopedist, Oncologist",null,"Doctor speaks English, French ",null,null,null,null,null,https://en.bookimed.com/doctor/axel-hillmann/
Andreas Hufnagel,https://img.bookimed.com/doctor/5acf60cdc5345_b.jpeg,null,MBBS,null,null,null,Neurologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/andreas-hufnagel/
Eckhart Kämpgen,https://img.bookimed.com/doctor/5acf6097d8903_b.jpeg,null,MBBS,null,null,null,"Oncologist, Aesthetic Specialist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/eckhart-kämpgen/
Thomas Verse,https://img.bookimed.com/doctor/5acf605cbcb12_b.jpeg,null,MBBS,null,null,null,Oncologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/thomas-verse/
Manfred Tetz,https://img.bookimed.com/doctor/5acf60c63d2fd_b.jpeg,null,MBBS,null,null,null,"Oncologist, Ophthalmologist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/manfred-r-tetz/
Wolfgang Schwenk,https://img.bookimed.com/doctor/5acf60e8d2e95_b.jpeg,null,MBBS,null,null,null,"Oncologist, Surgeon",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/wolfgang-schwenk/
Mark Schrader,https://img.bookimed.com/doctor/5acf60e76bf87_b.jpeg,null,MBBS,null,null,null,"Oncologist, Urologist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/mark-schrader/
Kurt Miller,https://img.bookimed.com/doctor/5acf60e793f0d_b.jpeg,null,MBBS,null,null,null,"Oncologist, Urologist, Transplantologist",null,Doctor speaks German ,null,null,null,null,null,https://en.bookimed.com/doctor/kurt-miller/
Ulrich Schaudig,https://img.bookimed.com/doctor/5acf60c66563d_b.jpeg,Head of the Ophthalmology Department at Asklepios Barmbek,MBBS,null,null,null,Ophthalmologist,null,"Doctor speaks English, German, French ",null,null,null,null,null,https://en.bookimed.com/doctor/ulrich-schaudig/
Thomas Carus,https://img.bookimed.com/doctor/5acf608011e97_b.jpeg,null,MBBS,null,null,null,"Endocrinologist, Bariatric Specialist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/thomas-carus/
Peter Vajkoczy,https://img.bookimed.com/doctor/5acf60daa5b12_b.jpeg,null,MBBS,null,null,null,"Neurosurgeon, Oncologist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/peter-vajkoczy/
Michael Stoffel,https://img.bookimed.com/doctor/5acf611f2f0ca_b.jpeg,null,MBBS,null,null,null,Neurosurgeon,null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/michael-stoffel/
Gerhard Gebauer,https://img.bookimed.com/doctor/5acf611b3b8bd_b.jpeg,null,MBBS,null,null,null,"Oncologist, Obstetrician-Gynecologist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/gerhard-gebauer/
Michael Paul Hahn,https://img.bookimed.com/doctor/5acf609be4261_b.jpeg,null,MBBS,null,null,null,Orthopedist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/michael-paul-hahn/
Thomas Mansfeld,https://img.bookimed.com/doctor/5acf60bb94869_b.jpeg,null,MBBS,null,null,null,Oncologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/thomas-mansfeld/
Christian Witt,https://img.bookimed.com/doctor/5acf60b37441d_b.jpeg,null,MBBS,null,null,null,Oncologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/christian-witt/
Michael Schmoeckel,https://img.bookimed.com/doctor/5acf60794c789_b.jpeg,null,MBBS,null,null,null,Cardiologist,null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/michael-schmoeckel/
Michael Schütz,https://img.bookimed.com/doctor/5acf60ed58c6d_b.jpeg,null,MBBS,null,null,null,"Orthopedist, Oncologist, Surgeon",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/michael-schutz/
Dieter Ukena,https://img.bookimed.com/doctor/5acf60e867147_b.jpeg,null,MBBS,null,null,null,Oncologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/dieter-ukena/
Juergen Pohl,https://img.bookimed.com/doctor/5acf60ae8b5f6_b.jpeg,null,MBBS,null,null,null,Oncologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/juergen-pohl/
Peter Reichardt,https://img.bookimed.com/doctor/5acf60fdcbf65_b.jpeg,null,MBBS,null,null,null,Oncologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/peter-reichardt/
Plamen Staikov ,https://img.bookimed.com/doctor/5acf613189142_b.jpeg,null,MBBS,null,null,null,"Gastrointestinal surgeon, General surgeon",null,"Doctor speaks Russian, English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/plamen-staikov/
Gerd-Rüdiger Burmester,https://img.bookimed.com/doctor/5acf611203c74_b.jpeg,null,MBBS,null,null,null,"Immunologist, Rheumatologist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/gerd-rudiger-burmester/
Bernd Schroeder,https://img.bookimed.com/doctor/5acf60c754ff3_b.jpeg,null,MBBS,null,null,null,Ophthalmologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/bernd-schroeder/
Joachim Pfannschmidt,https://img.bookimed.com/doctor/5acf60b30c97d_b.jpeg,null,MBBS,null,null,null,Oncologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/joachim-pfannschmidt/
Bodo Lippitz,https://img.bookimed.com/doctor/5acf6120dd5d5_b.jpeg,null,MBBS,null,null,null,Neurosurgeon,null,"Doctor speaks English, German, Swedish ",null,null,null,null,null,https://en.bookimed.com/doctor/bodo-lippitz/
Klaus Luque,https://img.bookimed.com/doctor/5ad6ef1702e91_b.jpeg,null,MBBS,null,null,null,Ophthalmologist,null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/klaus-lucke/
Cornelia Dotzenrath,https://img.bookimed.com/doctor/5acf60e2166a9_b.jpeg,null,MBBS,null,null,null,"Endocrinologist, Oncologist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/cornelia-dotzenrath/
Manuela Seifert,https://img.bookimed.com/doctor/5acf61128a527_b.jpeg,Dr. Seifer applies breast conserving operations as a key treatment method.,MBBS,null,null,null,"Gynecologic oncologist, Surgical oncologist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/manuela-seifert/
Klaus D. Diemel,https://img.bookimed.com/doctor/5acf6105b6847_b.jpeg,null,MBBS,null,null,null,Oncologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/klaus-d-diemel/
Agoritsa Stergiou-Tsaroucha,https://img.bookimed.com/doctor/5acf60faef244_b.jpeg,null,MBBS,null,null,null,"Oncologist, Obstetrician-Gynecologist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/agoritsa-stergiou-tsaroucha/
Volker Steinkraus,https://img.bookimed.com/doctor/5acf6098427e8_b.jpeg,null,MBBS,null,null,null,Aesthetic Specialist,null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/volker-steinkraus/
Per-Ulf Tunn,https://img.bookimed.com/doctor/5acf610d41f8c_b.jpeg,"Author of several methods of bone tumors treatment, incl. limb perfusion in advanced soft tissue sarcoma.",MBBS,null,null,null,"Oncologist, Pediatric Oncologist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/per-ulf-tunn/
Kristian Reich,https://img.bookimed.com/doctor/5acf609868b55_b.jpeg,null,MBBS,null,null,null,"Oncologist, Aesthetic Specialist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/kristian-reich/
 Veit Becker,https://img.bookimed.com/doctor/5acf60cdea8e7_b.jpeg,null,MBBS,null,null,null,Neurologist,null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/veit-becker/
Antje-Katrin Hofele,https://img.bookimed.com/doctor/5acf609b9b8b5_b.jpeg,null,MBBS,null,null,null,Oncologist,null,Doctor speaks German ,null,null,null,null,null,https://en.bookimed.com/doctor/antje-katrin-hofele/
Ihab. El-Bably,https://img.bookimed.com/doctor/5acf60c792679_b.jpeg,null,MBBS,null,null,null,Ophthalmologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/ihab-el-bably/
Thomas Grundmann,https://img.bookimed.com/doctor/5acf61072eeff_b.jpeg,null,MBBS,null,null,null,"Otorhinolaryngologist, Oncologist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/thomas-grundmann/
Antonia Joussen,https://img.bookimed.com/doctor/5acf60fbcb516_b.jpeg,null,MBBS,null,null,null,"Oncologist, Ophthalmologist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/antonia-joussen/
Jorn Halberstadt,https://img.bookimed.com/doctor/5acf60a7bfb18_b.jpeg,null,MBBS,null,null,null,"Oncologist, Surgeon",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/jorn-halberstadt/
Angelika Eggert,https://img.bookimed.com/doctor/5acf6111616ec_b.jpeg,null,MBBS,null,null,null,"Oncologist, Onco-Hematologist, Pediatrician, Pediatric Oncologist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/angelika-eggert/
Holger Mellerowicz,https://img.bookimed.com/doctor/5acf610a6db33_b.jpeg,null,MBBS,null,null,null,Orthopedist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/holger-mellerowicz/
Walter Zidek,https://img.bookimed.com/doctor/5acf61102c757_b.jpeg,null,MBBS,null,null,null,"Nephrologist, Transplantologist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/walter-zidek/
Peter Ulrich,https://img.bookimed.com/doctor/5b210d044e4a2_b.jpeg,null,MBBS,null,null,null,"Neurosurgeon, Pediatric Neurosurgeon",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/peter-ulrich/
Mustafa Aydogdu,https://img.bookimed.com/doctor/5acf60fd93adf_b.jpeg,null,MBBS,null,null,null,Oncologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/mustafa-aydogdu/
Matthias Endres,https://img.bookimed.com/doctor/5acf60d381c7d_b.jpeg,null,MBBS,null,null,null,Neurologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/matthias-endres/
Guenter Seidel,https://img.bookimed.com/doctor/5acf60ba8b9ed_b.jpeg,null,MBBS,null,null,null,Neurologist,null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/guenter-seidel/
Carsten Michael Oberhoff,https://img.bookimed.com/doctor/5acf60fd64dd0_b.jpeg,null,MBBS,null,null,null,"Oncologist, Obstetrician-Gynecologist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/carsten-michael-oberhoff/
Volker Budach,https://img.bookimed.com/doctor/5acf60e9a455b_b.jpeg,null,MBBS,null,null,null,"Oncologist, Onco-Hematologist",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/volker-budach/
Roland Veltkamp,https://img.bookimed.com/doctor/5acf613bed7e4_b.jpeg,null,MBBS,null,null,null,Neurologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/roland-veltkamp/
Human Zafiarian,https://img.bookimed.com/doctor/5acf609e28809_b.jpeg,null,MBBS,null,null,null,Orthopedist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/human-zafiarian/
Alessandro Marra,https://img.bookimed.com/doctor/5acf60e89a5d2_b.jpeg,null,MBBS,null,null,null,"Oncologist, Surgeon",null,null,null,null,null,null,null,https://en.bookimed.com/doctor/alessandro-marra/
Ralf Jung,https://img.bookimed.com/doctor/5acf6132239df_b.jpeg,null,MBBS,null,null,null,Endocrinologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/ralf-jung/
Stefan Schreiber,https://img.bookimed.com/doctor/5acf60c24484d_b.jpeg,null,MBBS,null,null,null,Neurologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/stefan-schreiber/
Christian Wülfing,https://img.bookimed.com/doctor/5acf60e113dda_b.jpeg,null,MBBS,null,null,null,"Oncologist, Urologist",null,"Doctor speaks English, German ",null,null,null,null,null,https://en.bookimed.com/doctor/christian-wülfing/
Frank Kolligs,https://img.bookimed.com/doctor/5acf610cc98dc_b.jpeg,null,MBBS,null,null,null,Gastroenterologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/frank-kolligs/
Norbert Schmitz,https://img.bookimed.com/doctor/5acf61067bd8f_b.jpeg,null,MBBS,null,null,null,Onco-Hematologist,null,null,null,null,null,null,null,https://en.bookimed.com/doctor/norbert-schmitz/
 Prof. Dr. Anca-Ligia Grosu,https://www.vaidam.com/sites/all/themes/vaidam/v0/dist/img/vaidam.gif,Prof. Dr. Anca-Ligia Grosu is a celebrated Radiation Oncologist with more than 25 years of experience.,MBBS,null,null,"Freiburg , Germany",Radiation Oncologist,null,"Germany,english",null,null,null,null,null,https://www.vaidam.com/doctors/prof-dr-anca-ligia-grosu
 Prof. Dr. Christoph Bode,https://www.vaidam.com/sites/all/themes/vaidam/v0/dist/img/vaidam.gif,NULL,MBBS,null,null,"Freiburg , Germany",Interventional Cardiologist,null,"Germany,english",null,null,null,null,null,https://www.vaidam.com/doctors/prof-dr-christoph-bode
 Prof. Dr. Dimos Baltas,https://www.vaidam.com/sites/all/themes/vaidam/v0/dist/img/vaidam.gif,NULL,MBBS,null,null,"Freiburg , Germany",Radiation Oncologist,null,"Germany,english",null,null,null,null,null,https://www.vaidam.com/doctors/prof-dr-dimos-baltas
 Prof. Dr. Horst Urbach,https://www.vaidam.com/sites/all/themes/vaidam/v0/dist/img/vaidam.gif,NULL,MBBS,null,null,"Freiburg , Germany",Neuro Intervention Radiologist,null,"Germany,english",null,null,null,null,null,https://www.vaidam.com/doctors/prof-dr-horst-urbach
 Prof. Dr. Wolf Alexander Lagreze,https://www.vaidam.com/sites/all/themes/vaidam/v0/dist/img/vaidam.gif,NULL,MBBS,null,null,"Freiburg , Germany",Ophthalmologist,null,"Germany,english",null,null,null,null,null,https://www.vaidam.com/doctors/prof-dr-wolf-alexander-lagreze
 Prof. Dr. Leena Bruckner-Tuderman,https://www.vaidam.com/sites/all/themes/vaidam/v0/dist/img/vaidam.gif,NULL,MBBS,null,null,"Freiburg , Germany",Dermatologist,null,"Germany,english",null,null,null,null,null,https://www.vaidam.com/doctors/prof-dr-leena-bruckner-tuderman
 Prof. Dr. Charlotte M. Niemeyer,https://www.vaidam.com/sites/all/themes/vaidam/v0/dist/img/vaidam.gif,NULL,MBBS,null,null,"Freiburg , Germany",Pediatric Hematologist,null,"Germany,english",null,null,null,null,null,https://www.vaidam.com/doctors/prof-dr-charlotte-m-niemeyer
 Prof. Dr. Friedhelm Beyersdorf,https://www.vaidam.com/sites/all/themes/vaidam/v0/dist/img/vaidam.gif,NULL,MBBS,null,null,"Freiburg , Germany",Interventional Cardiologist,null,"Germany,english",null,null,null,null,null,https://www.vaidam.com/doctors/prof-dr-friedhelm-beyersdorf
 Prof. Dr. Franz-Josef Neumann,https://www.vaidam.com/sites/all/themes/vaidam/v0/dist/img/vaidam.gif,NULL,MBBS,null,null,"Freiburg , Germany",Interventional Cardiologist,null,"Germany,english",null,null,null,null,null,https://www.vaidam.com/doctors/prof-dr-franz-josef-neumann
 Prof. Dr. Marc Timmers,https://www.vaidam.com/sites/all/themes/vaidam/v0/dist/img/vaidam.gif,NULL,MBBS,null,null,"Freiburg , Germany",Urologist,null,"Germany,english",null,null,null,null,null,https://www.vaidam.com/doctors/prof-dr-marc-timmers
 Prof. Dr. Reinhard E. Voll,https://www.vaidam.com/sites/all/themes/vaidam/v0/dist/img/vaidam.gif,NULL,MBBS,null,null,"Freiburg , Germany",Rheumatologist,null,"Germany,english",null,null,null,null,null,https://www.vaidam.com/doctors/prof-dr-reinhard-e-voll
 Prof. Dr. Claudia Spies,https://www.vaidam.com/sites/all/themes/vaidam/v0/dist/img/vaidam.gif,NULL,MBBS,null,null,"Berlin , Germany",Anaesthetist,null,"Germany,english",null,null,null,null,null,https://www.vaidam.com/doctors/prof-dr-claudia-spies
 Prof. Dr. G. Bjorn Stark,https://www.vaidam.com/sites/all/themes/vaidam/v0/dist/img/vaidam.gif,NULL,MBBS,null,null,"Freiburg , Germany",Cosmetic Surgeon,null,"Germany,english",null,null,null,null,null,https://www.vaidam.com/doctors/prof-dr-g-bjorn-stark
 Prof. Dr. Angelika Eggert,https://www.vaidam.com/sites/all/themes/vaidam/v0/dist/img/vaidam.gif,NULL,MBBS,null,null,"Berlin , Germany",Pediatric Oncologist,null,"Germany,english",null,null,null,null,null,https://www.vaidam.com/doctors/prof-dr-angelika-eggert
 Prof. Dr. Roland Schule,https://www.vaidam.com/sites/all/themes/vaidam/v0/dist/img/vaidam.gif,NULL,MBBS,null,null,"Freiburg , Germany",Urologist,null,"Germany,english",null,null,null,null,null,https://www.vaidam.com/doctors/prof-dr-roland-schule
 Prof. Dr. Carsten Perka,https://www.vaidam.com/sites/all/themes/vaidam/v0/dist/img/vaidam.gif,NULL,MBBS,null,null,"Berlin , Germany",Orthopaedic and Joint Replacement Surgeon,null,"Germany,english",null,null,null,null,null,https://www.vaidam.com/doctors/prof-dr-carsten-perka
